category,impact,description,priority
electricity,high,Issue with Street Light Not Working in Jagajeevanram Nagar,0.78
waste_management,medium,Garbage dump issue in Uttarahalli area,0.62
electricity,high,Issue with Street Light Not Working in Giri Nagar,0.81
waste_management,medium,Issue with Garbage dump in Doddanekkundi,0.63
electricity,high,Complaint regarding Street Light Not Working at Bellandur,0.77
waste_management,medium,Garbage dump reported in Shiva Nagar,0.64
waste_management,medium,Complaint regarding Garbage dump at HSR Layout,0.59
waste_management,medium,Road side drains issue in Neelasandra area,0.49
electricity,high,Street Light Not Working reported in Jnanabharathi Ward,0.82
electricity,high,Issue with Street Light Not Working in Kempegowda Ward,0.78
electricity,high,Complaint regarding Street Light Not Working at Byatarayanapura,0.84
electricity,high,Complaint regarding Street Light Not Working at Uttarahalli,0.79
waste_management,medium,Complaint regarding Road cutting at Banashankari Temple Ward,0.50
electricity,high,Street Light Not Working issue in Ganeshmandira Ward area,0.83
waste_management,medium,Issue with Garbage vehicle not arrived in Hoodi,0.50
electricity,high,Street Light Not Working problem in Someshwara ward,0.76
electricity,high,Street Light Not Working reported in K.R.Puram,0.79
electricity,high,Street Light Not Working reported in Horamavu,0.80
electricity,high,Issue with Street Light Not Working in Varthur,0.79
waste_management,medium,Issue with Garbage dump in Dodda Bidarkallu,0.61
electricity,high,Issue with Street Light Not Working in Chikkalasandra,0.81
waste_management,medium,footpath encroachment problem in Kadugodi ward,0.52
waste_management,medium,Issue with Potholes in C.V.Raman Nagar,0.54
electricity,high,Street Light Not Working reported in Jeevanbhima Nagar,0.77
electricity,high,Street Light Not Working problem in Malleshwaram ward,0.82
waste_management,medium,Garbage dump problem in Benniganahalli ward,0.64
electricity,high,Issue with Street Light Not Working in Jakkur,0.77
waste_management,medium,Issue with Garbage dump in Hemmigepura,0.56
waste_management,medium,Potholes issue in Shettyhalli area,0.53
electricity,high,Street Light Not Working problem in Hombegowda Nagar ward,0.75
electricity,high,Street Light Not Working reported in Vijay Nagar,0.85
waste_management,medium,Issue with Garbage dump in HSR Layout,0.64
waste_management,medium,Stray dog related complaints issue in Rajarajeshwari Nagar area,0.41
waste_management,medium,water stagnation problem in Byrasandra ward,0.46
electricity,high,Complaint regarding Street Light Not Working at Yelachenahalli,0.78
waste_management,medium,Road cutting issue in Konanakunte area,0.46
waste_management,medium,Garbage dump issue in Benniganahalli area,0.56
waste_management,medium,Garbage vehicle not arrived issue in Hoysala Nagar area,0.54
waste_management,medium,Removal of dead/fallen trees issue in Rajamahal area,0.54
waste_management,medium,Garbage dump issue in HBR Layout area,0.59
electricity,high,Street Light Not Working problem in K.R.Puram ward,0.84
electricity,high,Street Light Not Working reported in Hemmigepura,0.82
electricity,high,Street Light Not Working problem in Hosakerehalli ward,0.85
waste_management,medium,Issue with Technical Issue In Ekhata in Sudduguntepalya,0.53
electricity,high,Street Light Not Working reported in Hemmigepura,0.84
waste_management,medium,Garbage dump problem in Jakkur ward,0.62
electricity,high,Street Light Not Working reported in Doddabommasandra,0.75
waste_management,medium,Road side drains reported in Jnanabharathi Ward,0.50
waste_management,medium,Garbage vehicle not arrived reported in Horamavu,0.54
electricity,high,Street Light Not Working problem in Horamavu ward,0.79
waste_management,medium,Issue with Garbage dump in Koramangala,0.58
electricity,high,Issue with Street Light Not Working in Herohalli,0.79
waste_management,medium,Complaint regarding Stray dog related complaints at Kushal Nagar,0.50
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Singasandra,0.48
waste_management,medium,Dengue positive issue in Bellandur area,0.45
electricity,high,Street Light Not Working reported in Bagalagunte,0.77
waste_management,medium,Complaint regarding Dengue positive at Jayangar,0.53
waste_management,medium,Issue with Dengue positive in Hagadooru,0.46
waste_management,medium,Complaint regarding Garbage dump at Jaraganahalli,0.63
waste_management,medium,Garbage dump problem in Someshwara ward,0.56
waste_management,medium,Dengue positive issue in Byatarayanapura area,0.53
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.57
waste_management,medium,water leakage on road issue in Cottonpet area,0.59
waste_management,medium,footpath encroachment issue in Hosahalli area,0.50
waste_management,medium,Garbage dump issue in Thanisandra area,0.47
waste_management,medium,Removal of dead/fallen trees problem in Radhakrishna Temple ward,0.49
waste_management,medium,Issue with ekhata approval pending with ARO in Begur,0.42
waste_management,medium,Issue with ekhata approval pending with ARO in Shankaramata,0.45
waste_management,medium,Ekhata missing in online issue in Nagapura area,0.55
waste_management,medium,obstructions Branches / Trees. problem in Nagapura ward,0.47
waste_management,medium,Complaint regarding Garbage dump at Byatarayanapura,0.59
waste_management,medium,Garbage dump issue in Benniganahalli area,0.57
waste_management,medium,Complaint regarding Road side drains at Bellandur,0.55
waste_management,medium,Complaint regarding Garbage dump at Shettyhalli,0.58
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Padmanabha Nagar,0.60
waste_management,medium,Complaint regarding Garbage dump at Bellandur,0.48
electricity,high,Street Light Not Working reported in Kadugodi,0.84
waste_management,medium,Garbage dump reported in Katriguppe,0.55
waste_management,medium,Issue with Garbage dump in Bellandur,0.63
waste_management,medium,Garbage dump problem in Bellandur ward,0.55
electricity,high,Street Light Not Working issue in HBR Layout area,0.77
waste_management,medium,Complaint regarding Garbage dump at Jakkur,0.58
waste_management,medium,Garbage vehicle not arrived problem in Hombegowda Nagar ward,0.42
electricity,high,Issue with Street Light Not Working in Jnanabharathi Ward,0.84
waste_management,medium,Garbage dump issue in Varthur area,0.64
electricity,high,Street Light Not Working reported in Ganga Nagar,0.84
waste_management,medium,Garbage dump reported in Vasanthapura,0.62
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Yelachenahalli,0.46
waste_management,low,Issue with Garbage vehicle not arrived in Yelachenahalli,0.36
electricity,high,Street Light Not Working reported in Doddanekkundi,0.75
waste_management,medium,Dead animal(s) problem in Bellandur ward,0.51
waste_management,medium,Issue with Garbage dump in Chikpete,0.53
waste_management,medium,Issue with Garbage vehicle not arrived in Pattabhiram Nagar,0.43
electricity,high,Complaint regarding Street Light Not Working at J.P.Nagar,0.83
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.61
electricity,high,Street Light Not Working reported in Dodda Bidarkallu,0.83
waste_management,medium,Garbage nuisance while transporting issue in J.P.Nagar area,0.45
waste_management,medium,Garbage vehicle not arrived reported in Doddanekkundi,0.52
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Bellandur,0.42
waste_management,medium,Garbage dump reported in Kadugodi,0.55
waste_management,medium,Stray/Rabid dog bite problem in Shanthala Nagar ward,0.51
waste_management,medium,Complaint regarding Garbage dump at Banaswadi,0.57
waste_management,medium,Ekhata missing in online issue in Mathikere area,0.51
waste_management,medium,Complaint regarding Footpath at Konena Agrahara,0.48
waste_management,medium,Issue with Garbage dump in Doddanekkundi,0.60
electricity,high,Street Light Not Working problem in Sarakki ward,0.84
waste_management,medium,Road cutting reported in Horamavu,0.52
waste_management,low,Ekhata - name correction problem in Horamavu ward,0.36
waste_management,medium,Garbage vehicle not arrived reported in Vishwanathnagenahalli,0.53
electricity,high,Street Light Not Working reported in Ramamurthy Nagar,0.80
waste_management,medium,Garbage vehicle not arrived issue in Devarajeevanahalli area,0.52
waste_management,medium,Complaint regarding Stray cattle related complaints at Jnanabharathi Ward,0.55
waste_management,medium,UnAuthorised Constructions problem in Horamavu ward,0.53
waste_management,medium,Removal of dead/fallen trees problem in Aramane Nagar ward,0.55
waste_management,medium,Stray dog related complaints problem in Begur ward,0.49
electricity,high,Issue with Street Light Not Working in Dodda Bidarkallu,0.80
waste_management,medium,Issue with Debris Removal / Construction Material in Hebbal,0.50
waste_management,medium,Khata Services (Registration problem in  Bifurcation and Amalgamation) ward,0.53
waste_management,medium,Garbage dump reported in Yelachenahalli,0.56
electricity,high,Complaint regarding Street Light Not Working at Dattathreya Temple,0.76
waste_management,medium,Garbage dumping in vacant sites issue in Vishwanathnagenahalli area,0.60
waste_management,medium,Garbage dump reported in Cottonpet,0.55
waste_management,medium,Road side drains reported in Thanisandra,0.45
waste_management,low,Garbage vehicle not arrived reported in Kengeri,0.38
electricity,medium,Issue with Street Light Not Working in Vidyaranyapura,0.69
waste_management,medium,Garbage vehicle not arrived issue in Deepanjali Nagar area,0.45
waste_management,medium,Construction not done as per approved plan (Building Bye Law Violations) problem in Ullalu ward,0.45
waste_management,medium,Issue with Garbage vehicle not arrived in Someshwara,0.45
waste_management,low,Complaint regarding Garbage vehicle not arrived at Vasanthapura,0.37
waste_management,medium,Issue with Removal of dead/fallen trees in Giri Nagar,0.54
waste_management,medium,Issue with Garbage dump in Banaswadi,0.64
waste_management,medium,Road Infrastructure issue in Bellandur area,0.50
electricity,high,Complaint regarding Street Light Not Working at Singasandra,0.71
waste_management,low,Garbage vehicle not arrived issue in Basavanapura area,0.37
waste_management,medium,Encroachment issue in Arakere area,0.50
waste_management,medium,Garbage dump problem in Kuvempu Nagar ward,0.60
waste_management,low,Issue with obstructions Branches / Trees. in Shettyhalli,0.36
waste_management,low,Garbage vehicle not arrived issue in Kavalbyrasandra area,0.38
waste_management,medium,Garbage dump reported in Thanisandra,0.56
waste_management,medium,Garbage vehicle not arrived issue in Hagadooru area,0.45
waste_management,medium,water stagnation reported in C.V.Raman Nagar,0.47
waste_management,medium,Complaint regarding Garbage dump at Vidyapeetha,0.53
waste_management,medium,Garbage vehicle not arrived reported in C.V.Raman Nagar,0.50
waste_management,medium,Garbage dump problem in Hemmigepura ward,0.58
waste_management,medium,Garbage dump issue in Subhash Nagar area,0.45
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Byrasandra,0.45
waste_management,medium,Garbage dump problem in Kempegowda Ward ward,0.61
waste_management,medium,Issue with Garbage dump in Horamavu,0.53
waste_management,medium,Issue with Sweeping not done in Anjanapur,0.50
waste_management,medium,Removal of dead/fallen trees issue in Benniganahalli area,0.47
waste_management,medium,Issue with water leakage on road in Giri Nagar,0.56
waste_management,medium,Garbage dump issue in Banaswadi area,0.56
waste_management,medium,Stray dog related complaints problem in Varthur ward,0.44
waste_management,medium,Complaint regarding Garbage dump at Yelachenahalli,0.52
electricity,high,Street Light Not Working issue in Anjanapur area,0.75
waste_management,medium,Garbage nuisance while transporting reported in Mathikere,0.44
waste_management,medium,Stray dog related complaints reported in Jalahalli,0.46
waste_management,medium,Complaint regarding water leakage on road at Arakere,0.61
waste_management,medium,Complaint regarding Garbage dump at Rajarajeshwari Nagar,0.60
waste_management,medium,Animal birth control/neutering of stray dogs reported in Anjanapur,0.55
electricity,medium,Complaint regarding Street Light Not Working at Madiwala,0.67
electricity,medium,Issue with Street Light Not Working in Jaraganahalli,0.65
electricity,high,Issue with Street Light Not Working in Chamrajpet,0.76
electricity,high,Street Light Not Working issue in Banashankari Temple Ward area,0.76
electricity,high,Complaint regarding Street Light Not Working at Anjanapur,0.73
electricity,high,Complaint regarding Street Light Not Working at Anjanapur,0.76
waste_management,medium,Complaint regarding Road cutting at Jogupalya,0.47
electricity,high,Street Light Not Working reported in Gottigere,0.83
electricity,high,Issue with Street Light Not Working in Someshwara,0.78
waste_management,medium,Issue with Fatally injured - Needs immediate attention in Vijanapura,0.54
waste_management,medium,Garbage dump issue in Thanisandra area,0.64
electricity,high,Street Light Not Working problem in Kamakshipalya ward,0.76
waste_management,medium,Garbage dump problem in Pulikeshi Nagar ward,0.52
waste_management,medium,Garbage vehicle not arrived problem in Jnanabharathi Ward ward,0.46
electricity,high,Street Light Not Working issue in Byrasandra area,0.79
electricity,high,Complaint regarding Street Light Not Working at Hemmigepura,0.75
electricity,high,Issue with Street Light Not Working in J.P.Nagar,0.78
electricity,high,Street Light Not Working issue in Ullalu area,0.83
electricity,high,Street Light Not Working problem in Hemmigepura ward,0.84
electricity,high,Issue with Street Light Not Working in Kumaraswamy Layout,0.81
electricity,high,Street Light Not Working reported in J.P.Park,0.83
electricity,high,Street Light Not Working problem in Attiguppe ward,0.83
electricity,high,Street Light Not Working problem in Sudduguntepalya ward,0.79
waste_management,medium,Garbage dump problem in Benniganahalli ward,0.61
electricity,high,Street Light Not Working problem in Anjanapur ward,0.80
electricity,high,Issue with Street Light Not Working in Hoodi,0.84
